Condition	GameType	OpponentType	PlayerChoice	PlayerRT	OpponentLoss	PlayerLoss
1	Ultimatum	Person	20	787.5414	10	50
1	Ultimatum	Person	10	904.3378	13	65
1	Dictator	Person	40	503.8929	n/a	n/a
1	Ultimatum	Person	10	420.4669	13	65
1	Dictator	PC	0	904.3378	n/a	n/a
1	Dictator	Person	0	537.2633	n/a	n/a
1	Dictator	PC	0	1171.3011	n/a	n/a
1	Ultimatum	Person	20	420.4669	10	50
1	Dictator	PC	0	804.2266	n/a	n/a
1	Ultimatum	Person	20	1421.5792	9	45
1	Dictator	PC	0	1238.0419	n/a	n/a
1	Dictator	Person	0	787.5414	n/a	n/a
1	Ultimatum	PC	30	720.8006	7	35
1	Ultimatum	PC	10	921.023	13	65
1	Dictator	Person	0	570.6337	n/a	n/a
1	Dictator	PC	0	754.171	n/a	n/a
1	Dictator	PC	0	787.5414	n/a	n/a
1	Ultimatum	PC	30	620.6894	8	40
1	Ultimatum	Person	20	1271.4123	9	45
5	Ultimatum	PC	10	437.1521	13	65
5	Dictator	Person	0	470.5225	n/a	n/a
5	Dictator	Person	0	820.9118	n/a	n/a
5	Dictator	Person	0	1104.5603	n/a	n/a
5	Ultimatum	Person	50	737.4858	0	0
5	Dictator	Person	0	954.3934	n/a	n/a
5	Dictator	PC	0	737.4858	n/a	n/a
5	Dictator	Person	0	804.2266	n/a	n/a
5	Ultimatum	PC	40	787.5414	0	0
5	Ultimatum	PC	30	553.9485	7	35
5	Ultimatum	PC	70	754.171	0	0
5	Dictator	PC	0	587.3189	n/a	n/a
5	Dictator	Person	0	1271.4123	n/a	n/a
5	Ultimatum	Person	20	754.171	9	45
5	Ultimatum	Person	70	854.2822	0	0
5	Dictator	PC	0	704.1154	n/a	n/a
5	Dictator	PC	0	353.7261	n/a	n/a
5	Ultimatum	Person	50	904.3378	0	0
5	Ultimatum	Person	50	937.7082	0	0
5	Ultimatum	Person	100	637.3746	0	0
3	Ultimatum	Person	40	1121.2455	0	0
3	Ultimatum	PC	80	737.4858	0	0
3	Ultimatum	PC	50	1137.9307	0	0
3	Dictator	PC	0	587.3189	n/a	n/a
3	Ultimatum	PC	30	520.5781	7	35
3	Ultimatum	Person	50	537.2633	0	0
3	Dictator	PC	0	387.0965	n/a	n/a
3	Dictator	PC	0	1054.5047	n/a	n/a
3	Ultimatum	PC	50	1388.2088	0	0
3	Dictator	PC	0	453.8373	n/a	n/a
